image,x,y,width,height
train_001.jpg,48,26,1845,795
train_002.jpg,53,37,1843,779
train_003.jpg,221,39,1563,962
train_005.jpg,46,32,1856,798
train_006.jpg,53,31,1830,784
train_007.jpg,56,32,1827,783
train_008.jpg,53,28,1830,788
train_009.jpg,46,26,1837,792
train_010.jpg,50,34,1833,778
train_011.jpg,53,31,1830,785
train_012.jpg,56,29,1827,781
train_013.jpg,181,89,1470,817
train_015.jpg,50,28,1849,959
train_016.jpg,45,25,1875,953
train_017.jpg,43,35,1861,789
train_018.jpg,59,31,1840,782
train_019.jpg,58,28,1822,791
train_023.jpg,187,131,1672,770
train_024.jpg,51,34,1848,791
train_025.jpg,54,32,1848,789
train_028.jpg,50,31,1870,930
