frame,localization_status,ocr_text,ocr_confidence
train_001.jpg,DIRECT,"1 | 12 |3 L4LSLeLZ | 8 | 9 | 10 | TtC | J | X | 5-=74- | 0 | 15 | 20 | 2] | 3] | 31 | 8 -3-7181 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 = | 0 | 20 | 39) | 48 | 54 | 54 | 61/1 , | 8 - | 0 | 7 | 25 | 3 | 3 | 75",0.8348
train_002.jpg,DIRECT,"1 | 2 | 3 14 15 1617 | 8 | 9 | 10 | TtC | J | X | 5-=74- | 0 | 15 | 20 | 2 | 3] | 31 | 8 -3-1718 1 | 0 | 8 | # | 19 | 28 | 28 | P | X | 479-6 = | 0 | 20 | 39) | 48 | 54 | 54 | 6 1/1 , | 18 - | 0 | 7 | 25 | 3 | 3 | 2.5",0.7973
train_003.jpg,TRACKED-HOLD (1),BrunswickB,0.9059
train_004.jpg,TRACKED-HOLD (2),BrunswickB,0.8458
train_005.jpg,DIRECT,"F | 1 | 2 | 3 1415 | I6 | TtC | J | X | 5-=74- | 0 | 15 | 20 | Z] | 3] | 31 | 8 -3-1718 1 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 | "" | 0 | 20 | 39) | 48 | 54 | 54 | 6 1/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 7 5",0.7454
train_006.jpg,DIRECT,"1 | 2 | 3|415 | TtC | J | X | 5 ==74- | 0 | 15 | 20 | 2] | 3] | 31 | 8 -3-17181 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 | S | 0 | 20 | 39) | 48 | 54 | 54 | 61/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 2.5",0.7903
train_007.jpg,DIRECT,"1 | 2 | 31415 | 6 | TtC | J | X | 5==74- | 0 | 15 | 20 | 2 | 3] | 31 | 8 -3-1718 1 | 0 | 8 | # | 19 | 28 | 28 | P | X | 479-6 | 0 | 20 | 39) | 48 | 54 | 54 | T | 61/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 2.5",0.8678
train_008.jpg,DIRECT,"1 | 2 | 3 14L5 | I6 | TtC | J | X | 5==74- | 0 | 15 | 20 | 2] | 3] | 31 | 8 =3-1718 1 | 0 | 8 | | # | 19 | 28 | 28 | P | X | 479-6 | 0 | 20 | 8) | 48 | 54 | 54 | T | 61/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 2.5",0.8297
train_009.jpg,DIRECT,"1 | 2 | 31415 | 6 | TtC | J | X | 5==74- | 0 | 15 | 20 | 2] | 3] | 31 | 8 -3-17181 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 | B | 0 | 20 | 39) | 48 | 54 | 54 | 61/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 2.5",0.8328
train_010.jpg,DIRECT,"1 | 2 | 3 | 4 | 5 | TtC | J | X | 5==74- | 0 | 15 | 20 | 2] | 3] | 31 | 8 -3-17181 | 0 | 8 | # | 19 | 28 | 28 | P | X1479-6 | S | 0 | 20 | 39 | 48 | 54 | 54 | T | 61/1 , | 18-B | 0 | 7 | 25 | 3 | 3 | 2.5",0.8124
